spotify_id,name,followers,popularity,genres,chart_hits
75VKfyoBlkmrJFDqo1o2VY,Fireboy DML,1004088,71,['afro dancehall'],"['gb (2)', 'at (1)', 'be (1)', 'ca (1)', 'cy (1)', 'dk (1)', 'ee (1)', 'fi (1)', 'fr (1)', 'de (1)', 'ie (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'ma (1)', 'nl (1)', 'no (1)', 'za (1)', 'kr (1)', 'se (1)', 'ch (2)', 'tw (1)', 'ae (2)']"
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,4088603,71,"['alternative metal', 'alternative rock', 'grunge', 'permanent wave', 'pop rock', 'rock', 'spacegrunge']","['br (1)', 'cl (1)', 'fr (1)']"
5JXhkyafynxCvxtov7C1PV,Bruno & Marrone,4681367,71,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (8)']
4ofCBoyEiGSePFAG500xev,Regard,193991,71,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']","['us (2)', 'gb (3)', 'ar (1)', 'au (3)', 'at (2)', 'be (3)', 'bo (1)', 'br (1)', 'bg (4)', 'ca (3)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (3)', 'cz (1)', 'dk (3)', 'ec (1)', 'eg (1)', 'sv (1)', 'ee (3)', 'fi (3)', 'fr (2)', 'de (3)', 'gr (2)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (3)', 'is (2)', 'in (1)', 'ie (3)', 'il (1)', 'it (1)', 'lv (3)', 'lt (3)', 'lu (3)', 'my (2)', 'mt (2)', 'mx (1)', 'ma (1)', 'nl (3)', 'nz (3)', 'no (4)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (2)', 'pt (2)', 'ro (3)', 'sa (2)', 'sg (2)', 'sk (3)', 'za (3)', 'kr (1)', 'es (1)', 'se (3)', 'ch (3)', 'tw (2)', 'th (1)', 'tr (1)', 'ae (3)', 'vn (2)']"
1JbemQ1fPt2YmSLjAFhPBv,Chayanne,6521199,71,"['latin pop', 'puerto rican pop', 'tropical']","['ar (7)', 'bo (2)', 'cl (5)', 'co (1)', 'cr (3)', 'do (3)', 'ec (3)', 'sv (3)', 'gt (3)', 'hn (2)', 'mx (5)', 'ni (3)', 'pa (3)', 'py (2)', 'pe (5)', 'es (3)', 'uy (4)']"
5QNm7E7RU2m64l6Gliu8Oy,HARDY,39,71,"['contemporary country', 'country', 'country road']",
4Yttlv9ndGjCDCVLqM7ACq,Sido,1859230,71,['german hip hop'],"['at (38)', 'de (58)', 'lu (16)', 'ch (44)']"
2SrSdSvpminqmStGELCSNd,Stormzy,2538292,71,"['grime', 'uk hip hop']","['us (1)', 'gb (40)', 'au (5)', 'at (1)', 'be (2)', 'bg (2)', 'ca (1)', 'cy (3)', 'cz (1)', 'dk (8)', 'ee (2)', 'fi (2)', 'de (1)', 'gr (1)', 'hk (1)', 'hu (2)', 'is (3)', 'ie (32)', 'il (1)', 'it (1)', 'jp (1)', 'lv (2)', 'lt (2)', 'lu (2)', 'my (1)', 'mt (4)', 'ma (1)', 'nl (2)', 'nz (4)', 'no (2)', 'pl (1)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'za (1)', 'se (3)', 'ch (2)', 'tw (1)', 'ae (2)', 'vn (1)']"
31VFEohvhOUKrtAONEBhMG,Kenia OS,2137283,71,['reggaeton mexicano'],"['sv (1)', 'hn (1)', 'mx (10)']"
1vppDmG3i5sXf3DJzrK4T1,Thiaguinho,2988815,71,['pagode'],['br (12)']
19k8AgwwTSxeaxkOuCQEJs,Jelly Roll,1477176,71,"['country rap', 'nashville hip hop', 'tennessee hip hop']",['us (1)']
